code;error_mean;r_mean;g_mean;b_mean;diff_path
AC0820;22.2533;22.2533;22.2533;22.2533;AC0820_diff.bmp
AC0800;18.0711;18.0711;18.0711;18.0711;AC0800_diff.bmp
AC0840;18.0711;18.0711;18.0711;18.0711;AC0840_diff.bmp
AC0850;18.0711;18.0711;18.0711;18.0711;AC0850_diff.bmp
AC0870;18.0711;18.0711;18.0711;18.0711;AC0870_diff.bmp
AC0835;12.2496;12.2496;12.2496;12.2496;AC0835_diff.bmp
AC0845;12.2496;12.2496;12.2496;12.2496;AC0845_diff.bmp
AC0811;8.4987;8.4987;8.4987;8.4987;AC0811_diff.bmp
AC0831;8.4987;8.4987;8.4987;8.4987;AC0831_diff.bmp
AC0836;8.4987;8.4987;8.4987;8.4987;AC0836_diff.bmp
AC0841;8.4987;8.4987;8.4987;8.4987;AC0841_diff.bmp
AC0846;8.4987;8.4987;8.4987;8.4987;AC0846_diff.bmp
AC0861;8.4987;8.4987;8.4987;8.4987;AC0861_diff.bmp
AC0881;8.4987;8.4987;8.4987;8.4987;AC0881_diff.bmp
AC0813;8.2658;8.2658;8.2658;8.2658;AC0813_diff.bmp
AC0833;8.2658;8.2658;8.2658;8.2658;AC0833_diff.bmp
AC0838;8.2658;8.2658;8.2658;8.2658;AC0838_diff.bmp
AC0843;8.2658;8.2658;8.2658;8.2658;AC0843_diff.bmp
AC0848;8.2658;8.2658;8.2658;8.2658;AC0848_diff.bmp
AC0863;8.2658;8.2658;8.2658;8.2658;AC0863_diff.bmp
AC0883;8.2658;8.2658;8.2658;8.2658;AC0883_diff.bmp
AC0814;6.8053;6.8053;6.8053;6.8053;AC0814_diff.bmp
AC0834;6.8053;6.8053;6.8053;6.8053;AC0834_diff.bmp
AC0839;6.8053;6.8053;6.8053;6.8053;AC0839_diff.bmp
AC0844;6.8053;6.8053;6.8053;6.8053;AC0844_diff.bmp
AC0849;6.8053;6.8053;6.8053;6.8053;AC0849_diff.bmp
AC0864;6.8053;6.8053;6.8053;6.8053;AC0864_diff.bmp
AC0884;6.8053;6.8053;6.8053;6.8053;AC0884_diff.bmp
AC0812;6.6853;6.6853;6.6853;6.6853;AC0812_diff.bmp
AC0832;6.6853;6.6853;6.6853;6.6853;AC0832_diff.bmp
AC0837;6.6853;6.6853;6.6853;6.6853;AC0837_diff.bmp
AC0842;6.6853;6.6853;6.6853;6.6853;AC0842_diff.bmp
AC0847;6.6853;6.6853;6.6853;6.6853;AC0847_diff.bmp
AC0862;6.6853;6.6853;6.6853;6.6853;AC0862_diff.bmp
AC0882;6.6853;6.6853;6.6853;6.6853;AC0882_diff.bmp
