code,source_file,width,height,mae_rgb,rmse_rgb,exact_pixel_ratio,max_iter,plateau_limit,seed,svg_path
AC0800,AC0800_L.jpg,30,30,53.365556,65.089110,0.146667,120,36,42,C:/Users/marku/myCloud/TinyLanguage/artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter120_plat36_seed42/AC0800.svg
AC0800,AC0800_L.jpg,30,30,53.850000,65.462771,0.144444,240,72,42,C:/Users/marku/myCloud/TinyLanguage/artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter240_plat72_seed42/AC0800.svg
AC0800,AC0800_L.jpg,30,30,53.850000,65.462771,0.144444,360,108,42,C:/Users/marku/myCloud/TinyLanguage/artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter360_plat108_seed42/AC0800.svg
AC0800,AC0800_L.jpg,30,30,53.734444,65.376219,0.144444,240,72,1337,C:/Users/marku/myCloud/TinyLanguage/artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter240_plat72_seed1337/AC0800.svg
AC0800,AC0800_L.jpg,30,30,53.850000,65.462771,0.144444,480,144,42,C:/Users/marku/myCloud/TinyLanguage/artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter480_plat144_seed42/AC0800.svg
AC0800,AC0800_L.jpg,30,30,43.694444,62.713467,0.151111,0,0,0,artifacts/converted_symbols/svg/AC0800.svg
AC0811,AC0811_L.jpg,25,45,32.536000,49.015381,0.404444,120,36,42,C:/Users/marku/myCloud/TinyLanguage/artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter120_plat36_seed42/AC0811.svg
AC0811,AC0811_L.jpg,25,45,32.536000,49.015381,0.404444,240,72,42,C:/Users/marku/myCloud/TinyLanguage/artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter240_plat72_seed42/AC0811.svg
AC0811,AC0811_L.jpg,25,45,32.536000,49.015381,0.404444,360,108,42,C:/Users/marku/myCloud/TinyLanguage/artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter360_plat108_seed42/AC0811.svg
AC0811,AC0811_L.jpg,25,45,32.536000,49.015381,0.404444,240,72,1337,C:/Users/marku/myCloud/TinyLanguage/artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter240_plat72_seed1337/AC0811.svg
AC0811,AC0811_L.jpg,25,45,32.536000,49.015381,0.404444,480,144,42,C:/Users/marku/myCloud/TinyLanguage/artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter480_plat144_seed42/AC0811.svg
AC0811,AC0811_L.jpg,25,45,24.130667,44.455191,0.399111,0,0,0,artifacts/converted_symbols/svg/AC0811.svg
AC0812,AC0812_L.jpg,45,25,28.667556,44.938941,0.471111,120,36,42,C:/Users/marku/myCloud/TinyLanguage/artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter120_plat36_seed42/AC0812.svg
AC0812,AC0812_L.jpg,45,25,28.667556,44.938941,0.471111,240,72,42,C:/Users/marku/myCloud/TinyLanguage/artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter240_plat72_seed42/AC0812.svg
AC0812,AC0812_L.jpg,45,25,28.667556,44.938941,0.471111,360,108,42,C:/Users/marku/myCloud/TinyLanguage/artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter360_plat108_seed42/AC0812.svg
AC0812,AC0812_L.jpg,45,25,28.667556,44.938941,0.471111,240,72,1337,C:/Users/marku/myCloud/TinyLanguage/artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter240_plat72_seed1337/AC0812.svg
AC0812,AC0812_L.jpg,45,25,28.667556,44.938941,0.471111,480,144,42,C:/Users/marku/myCloud/TinyLanguage/artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter480_plat144_seed42/AC0812.svg
AC0812,AC0812_L.jpg,45,25,23.922667,44.255270,0.437333,0,0,0,artifacts/converted_symbols/svg/AC0812.svg
AC0813,AC0813_L.jpg,25,45,30.594667,46.725953,0.456000,120,36,42,C:/Users/marku/myCloud/TinyLanguage/artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter120_plat36_seed42/AC0813.svg
AC0813,AC0813_L.jpg,25,45,30.594667,46.725953,0.456000,240,72,42,C:/Users/marku/myCloud/TinyLanguage/artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter240_plat72_seed42/AC0813.svg
AC0813,AC0813_L.jpg,25,45,30.594667,46.725953,0.456000,360,108,42,C:/Users/marku/myCloud/TinyLanguage/artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter360_plat108_seed42/AC0813.svg
AC0813,AC0813_L.jpg,25,45,30.594667,46.725953,0.456000,240,72,1337,C:/Users/marku/myCloud/TinyLanguage/artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter240_plat72_seed1337/AC0813.svg
AC0813,AC0813_L.jpg,25,45,30.594667,46.725953,0.456000,480,144,42,C:/Users/marku/myCloud/TinyLanguage/artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter480_plat144_seed42/AC0813.svg
AC0813,AC0813_L.jpg,25,45,23.922667,44.262821,0.437333,0,0,0,artifacts/converted_symbols/svg/AC0813.svg
AC0814,AC0814_L.jpg,45,25,28.680000,44.768272,0.422222,120,36,42,C:/Users/marku/myCloud/TinyLanguage/artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter120_plat36_seed42/AC0814.svg
AC0814,AC0814_L.jpg,45,25,28.680000,44.768272,0.422222,240,72,42,C:/Users/marku/myCloud/TinyLanguage/artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter240_plat72_seed42/AC0814.svg
AC0814,AC0814_L.jpg,45,25,28.680000,44.768272,0.422222,360,108,42,C:/Users/marku/myCloud/TinyLanguage/artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter360_plat108_seed42/AC0814.svg
AC0814,AC0814_L.jpg,45,25,28.680000,44.768272,0.422222,240,72,1337,C:/Users/marku/myCloud/TinyLanguage/artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter240_plat72_seed1337/AC0814.svg
