code,source_file,width,height,mae_rgb,rmse_rgb,exact_pixel_ratio,max_iter,plateau_limit,seed,svg_path
AC0800,AC0800_L.jpg,30,30,9.304444,26.376463,0.824444,360,108,42,artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter360_plat108_seed42/AC0800.svg
AC0811,AC0811_L.jpg,25,45,6.839111,25.213013,0.906667,120,36,42,artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter120_plat36_seed42/AC0811.svg
AC0812,AC0812_L.jpg,45,25,5.710222,22.188445,0.915556,120,36,42,artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter120_plat36_seed42/AC0812.svg
AC0813,AC0813_L.jpg,25,45,7.516444,26.864797,0.901333,120,36,42,artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter120_plat36_seed42/AC0813.svg
AC0814,AC0814_L.jpg,45,25,5.710222,22.188445,0.915556,120,36,42,artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter120_plat36_seed42/AC0814.svg
AC0820,AC0820_L.jpg,30,30,11.566667,32.410732,0.824444,360,108,42,artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter360_plat108_seed42/AC0820.svg
AC0831,AC0831_L.jpg,25,45,6.839111,25.213013,0.906667,120,36,42,artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter120_plat36_seed42/AC0831.svg
AC0832,AC0832_L.jpg,45,25,5.710222,22.188445,0.915556,120,36,42,artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter120_plat36_seed42/AC0832.svg
AC0833,AC0833_L.jpg,25,45,7.516444,26.864797,0.901333,120,36,42,artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter120_plat36_seed42/AC0833.svg
AC0834,AC0834_L.jpg,45,25,5.710222,22.188445,0.915556,120,36,42,artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter120_plat36_seed42/AC0834.svg
AC0835,AC0835_L.jpg,25,25,10.278400,29.768923,0.848000,120,36,42,artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter120_plat36_seed42/AC0835.svg
AC0836,AC0836_L.jpg,25,45,6.839111,25.213013,0.906667,120,36,42,artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter120_plat36_seed42/AC0836.svg
AC0837,AC0837_L.jpg,45,25,5.710222,22.188445,0.915556,120,36,42,artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter120_plat36_seed42/AC0837.svg
AC0838,AC0838_L.jpg,25,45,7.516444,26.864797,0.901333,120,36,42,artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter120_plat36_seed42/AC0838.svg
AC0839,AC0839_L.jpg,45,25,5.710222,22.188445,0.915556,120,36,42,artifacts/converted_symbols/optimized_roundtrip/all_candidates/iter120_plat36_seed42/AC0839.svg
