file;mode;element;strategy;outcome;line
AC0800_L_element_validation.log;validation;circle;center_diagonal_update;adjustable_step;circle: Parameter nach Mittelpunkt/Diagonale angepasst
AC0800_L_element_validation.log;validation;circle;width_bracketing;fixed_rule;circle: Breiten-Bracketing übersprungen (stroke_circle: current=1.000, Range=1.000..1.000)
AC0800_L_element_validation.log;validation;circle;radius_bracketing;success;"circle: Radius-Bracketing r 13.701->13.500 (best_err=4040.000); Kandidaten=10.500->22179.000, 13.500->4040.000, 14.000->8560.000, 14.500->16999.000"
AC0800_L_element_validation.log;validation;circle;joint_multistart;failed;circle: Joint-Multistart keine relevante Änderung (cx=15.000, cy=15.000, r=13.500, best_err=4040.000)
AC0800_L_element_validation.log;validation;circle;color_bracketing;fixed_rule;circle: Farb-Bracketing übersprungen (Farben gesperrt)
AC0800_M_element_validation.log;validation;circle;center_diagonal_update;adjustable_step;circle: Parameter nach Mittelpunkt/Diagonale angepasst
AC0800_M_element_validation.log;validation;circle;width_bracketing;fixed_rule;circle: Breiten-Bracketing übersprungen (stroke_circle: current=1.000, Range=1.000..1.000)
AC0800_M_element_validation.log;validation;circle;radius_bracketing;success;"circle: Radius-Bracketing r 8.728->9.000 (best_err=519.000); Kandidaten=8.000->9116.000, 8.500->4876.000, 9.000->519.000, 9.500->5425.000"
AC0800_M_element_validation.log;validation;circle;joint_multistart;failed;circle: Joint-Multistart keine relevante Änderung (cx=10.000, cy=10.000, r=9.000, best_err=519.000)
AC0800_M_element_validation.log;validation;circle;color_bracketing;fixed_rule;circle: Farb-Bracketing übersprungen (Farben gesperrt)
AC0800_S_element_validation.log;validation;circle;center_diagonal_update;adjustable_step;circle: Parameter nach Mittelpunkt/Diagonale angepasst
AC0800_S_element_validation.log;validation;circle;width_bracketing;fixed_rule;circle: Breiten-Bracketing übersprungen (stroke_circle: current=1.000, Range=1.000..1.000)
AC0800_S_element_validation.log;validation;circle;radius_bracketing;success;"circle: Radius-Bracketing r 6.077->6.500 (best_err=2009.000); Kandidaten=5.500->7079.000, 6.000->5165.000, 6.500->2009.000, 7.000->2181.000"
AC0800_S_element_validation.log;validation;circle;joint_multistart;failed;circle: Joint-Multistart keine relevante Änderung (cx=7.500, cy=7.500, r=6.500, best_err=2009.000)
AC0800_S_element_validation.log;validation;circle;center_diagonal_update;failed;circle: Mittelpunkt/Diagonale-Update verworfen (Fehler 49.369->56.487)
AC0800_S_element_validation.log;validation;circle;width_bracketing;fixed_rule;circle: Breiten-Bracketing übersprungen (stroke_circle: current=1.000, Range=1.000..1.000)
AC0800_S_element_validation.log;validation;circle;radius_bracketing;failed;"circle: Radius-Bracketing keine relevante Änderung (r: 6.500, best_err=2009.000); Kandidaten=6.000->5165.000, 6.500->2009.000, 7.000->2181.000"
AC0800_S_element_validation.log;validation;circle;joint_multistart;failed;circle: Joint-Multistart keine relevante Änderung (cx=7.500, cy=7.500, r=6.500, best_err=2009.000)
AC0800_S_element_validation.log;validation;circle;color_bracketing;fixed_rule;circle: Farb-Bracketing übersprungen (Farben gesperrt)
AC0811_L_element_validation.log;validation;circle;center_diagonal_update;adjustable_step;circle: Parameter nach Mittelpunkt/Diagonale angepasst
