AC0800: AC0800_L aus AC0800_M abgeleitet (max_delta=0.0333, Fehler 6.85->6.85)
AC0800: AC0800_S nicht harmonisiert (Fehler 13.06 > Basis 10.35)
AC0811: AC0811_M nicht harmonisiert (Fehler 16.71 > Basis 14.07)
AC0811: AC0811_S nicht harmonisiert (Fehler 11.93 > Basis 8.41)
AC0812: AC0812_M nicht harmonisiert (Fehler 17.67 > Basis 16.57)
AC0812: AC0812_S nicht harmonisiert (Fehler 19.03 > Basis 9.64)
AC0814: AC0814_M nicht harmonisiert (Fehler 28.96 > Basis 15.57)
AC0814: AC0814_S nicht harmonisiert (Fehler 32.90 > Basis 10.05)
AC0820: AC0820_L nicht harmonisiert (Fehler 23.63 > Basis 21.04)
AC0820: AC0820_S nicht harmonisiert (Fehler 29.19 > Basis 18.62)
AC0831: AC0831_M nicht harmonisiert (Fehler 25.98 > Basis 21.84)
AC0831: AC0831_S nicht harmonisiert (Fehler 24.94 > Basis 18.75)
AC0832: AC0832_M nicht harmonisiert (Fehler 35.29 > Basis 22.28)
AC0832: AC0832_S nicht harmonisiert (Fehler 38.95 > Basis 12.89)
AC0834: AC0834_M nicht harmonisiert (Fehler 27.18 > Basis 22.64)
AC0834: AC0834_S nicht harmonisiert (Fehler 30.14 > Basis 16.83)
AC0835: AC0835_L nicht harmonisiert (Fehler 23.86 > Basis 20.70)
AC0835: AC0835_S nicht harmonisiert (Fehler 30.14 > Basis 27.04)
AC0836: AC0836_M nicht harmonisiert (Fehler 22.78 > Basis 22.20)
AC0836: AC0836_S nicht harmonisiert (Fehler 25.95 > Basis 16.97)
AC0837: AC0837_M nicht harmonisiert (Fehler 36.53 > Basis 23.68)
AC0837: AC0837_S nicht harmonisiert (Fehler 40.14 > Basis 18.56)
AC0839: AC0839_M nicht harmonisiert (Fehler 35.64 > Basis 24.59)
AC0839: AC0839_S nicht harmonisiert (Fehler 38.53 > Basis 14.98)
AC0870: AC0870_L nicht harmonisiert (Fehler 30.67 > Basis 15.12)
AC0870: AC0870_S nicht harmonisiert (Fehler 28.96 > Basis 14.27)
AC0881: AC0881_M nicht harmonisiert (Fehler 22.47 > Basis 16.88)
AC0881: AC0881_S nicht harmonisiert (Fehler 26.72 > Basis 13.65)
AC0882: AC0882_M nicht harmonisiert (Fehler 29.49 > Basis 24.49)
AC0882: AC0882_S nicht harmonisiert (Fehler 31.71 > Basis 16.01)
