code,width,height,mae_rgb,rmse_rgb,exact_pixel_ratio
AC0800,64,64,2.138672,13.135821,0.962646
AC0811,64,64,1.847412,13.063743,0.974609
AC0812,64,64,1.568359,11.628486,0.976807
AC0813,64,64,2.064453,14.079261,0.972900
AC0814,64,64,1.661377,12.125795,0.976074
AC0820,64,64,2.670898,16.207155,0.962646
AC0831,64,64,1.847412,13.063743,0.974609
AC0832,64,64,1.568359,11.628486,0.976807
AC0833,64,64,2.064453,14.079261,0.972900
AC0834,64,64,1.661377,12.125795,0.976074
AC0835,64,64,1.568359,11.628486,0.976807
AC0836,64,64,1.847412,13.063743,0.974609
AC0837,64,64,1.568359,11.628486,0.976807
AC0838,64,64,2.064453,14.079261,0.972900
AC0839,64,64,1.661377,12.125795,0.976074
AC0840,64,64,2.138672,13.135821,0.962646
AC0841,64,64,1.847412,13.063743,0.974609
AC0842,64,64,1.568359,11.628486,0.976807
AC0843,64,64,2.064453,14.079261,0.972900
AC0844,64,64,1.661377,12.125795,0.976074
AC0845,64,64,1.568359,11.628486,0.976807
AC0846,64,64,1.847412,13.063743,0.974609
AC0847,64,64,1.568359,11.628486,0.976807
AC0848,64,64,2.064453,14.079261,0.972900
AC0849,64,64,1.661377,12.125795,0.976074
AC0850,64,64,2.138672,13.135821,0.962646
AC0861,64,64,1.847412,13.063743,0.974609
AC0862,64,64,1.568359,11.628486,0.976807
AC0863,64,64,2.064453,14.079261,0.972900
AC0864,64,64,1.661377,12.125795,0.976074
AC0870,64,64,2.138672,13.135821,0.962646
AC0881,64,64,1.847412,13.063743,0.974609
AC0882,64,64,1.568359,11.628486,0.976807
AC0883,64,64,2.064453,14.079261,0.972900
AC0884,64,64,1.661377,12.125795,0.976074
