image,svg,width,height,avg_error_per_pixel
DLG0040.jpg,DLG0040.svg,30,25,0.000000
GE1313_S.jpg,GE1313_S.svg,50,20,0.000000
DLG0001.JPG,DLG0001.svg,1600,1200,1.010503
GE0000.JPG,GE0000.svg,1600,1200,1.010503
GE1313_M.jpg,GE1313_M.svg,75,25,1.149867
GE1312_M.jpg,GE1312_M.svg,335,25,2.829731
GE9901_S.jpg,GE9901_S.svg,640,480,2.952591
GE9901_W.jpg,GE9901_W.svg,1600,1200,2.965217
GE9901_X.jpg,GE9901_X.svg,1280,1024,2.966048
GE9901_M.jpg,GE9901_M.svg,800,600,2.982438
GE9901_L.jpg,GE9901_L.svg,1024,768,2.985051
GE1311_M.jpg,GE1311_M.svg,165,25,3.012848
GE1310_M.jpg,GE1310_M.svg,75,25,3.461333
GE1312_S.jpg,GE1312_S.svg,210,20,3.509762
GE1311_S.jpg,GE1311_S.svg,120,20,3.811667
GE1310_S.jpg,GE1310_S.svg,55,20,4.362727
GE1302_M.jpg,GE1302_M.svg,335,25,4.509493
GE1301_M.jpg,GE1301_M.svg,165,25,4.812121
GE9041_7S.jpg,GE9041_7S.svg,20,20,4.860000
GE1300_M.jpg,GE1300_M.svg,75,25,4.894400
GE9043_7S.jpg,GE9043_7S.svg,20,20,4.972500
GE1302_S.jpg,GE1302_S.svg,210,20,5.724048
DLG0070.JPG,DLG0070.svg,66,20,5.757576
DLG0014.JPG,DLG0014.svg,350,25,5.766514
AC0304_2_L.jpg,AC0304_2_L.svg,80,80,5.850937
AC0301_2_L.jpg,AC0301_2_L.svg,80,80,5.854844
DLG0016.JPG,DLG0016.svg,180,25,5.980222
DLG0010.JPG,DLG0010.svg,90,25,6.000444
GE9005_7S.jpg,GE9005_7S.svg,10,10,6.050000
GE1301_S.jpg,GE1301_S.svg,120,20,6.115417
GE9031_7M.jpg,GE9031_7M.svg,40,40,6.350000
GE1300_S.jpg,GE1300_S.svg,55,20,6.614545
GE1201_M.jpg,GE1201_M.svg,20,20,6.627500
GE1201_L.jpg,GE1201_L.svg,25,25,6.643200
AC0301_2_M.jpg,AC0301_2_M.svg,60,60,6.731389
AC0304_2_M.jpg,AC0304_2_M.svg,60,60,6.789722
GE9031_7S.jpg,GE9031_7S.svg,20,20,6.817500
